ID_estudiante,ID_IE,Seccion,sexo,ise,Distrito,M500_L,M500_CN,M500_M,grupo_M,riesgo_matematica
2022223124299900309,1785,C,Mujer,1.52527548856195,PACHACAMAC,557.883,560.321,550.22,En inicio,1
2022223124299900310,1785,C,Mujer,1.42751535216915,PACHACAMAC,654.956,515.313,614.441,En proceso,0
2022223124299900311,1785,C,Hombre,1.30772492305488,PACHACAMAC,583.507,504.126,589.33,En inicio,1
2022223124299900312,1785,C,Hombre,1.49893078291687,PACHACAMAC,657.789,595.556,643.088,En proceso,0
2022223124299900313,1785,C,Hombre,1.30778844845336,PACHACAMAC,687.601,606.873,671.59,Satisfactorio,0
2022223124299900314,1785,C,Mujer,1.81381988359852,PACHACAMAC,729.424,770.445,714.74,Satisfactorio,0
2022223124299900315,1785,C,Mujer,1.50118550809185,PACHACAMAC,889.754,713.606,733.934,Satisfactorio,0
2022223124299900316,1785,C,Hombre,1.72893088357879,PACHACAMAC,694.931,673.999,679.239,Satisfactorio,0
2022223124299900317,1785,C,Hombre,1.11496284279167,PACHACAMAC,628.039,635.806,609.823,En proceso,0
2022223124299900318,1785,C,Hombre,1.57343524576616,PACHACAMAC,645.409,619.089,671.59,Satisfactorio,0
2022223124299900319,1785,C,Mujer,1.35510265854259,PACHACAMAC,654.463,739.582,693.887,Satisfactorio,0
2022223124299900320,1785,C,Mujer, ,PACHACAMAC,581.412,506.44,481.526,Previo al Inicio,1
2022223126707900101,1818,A,Hombre,1.42233455084488,SAN JUAN DE MIRAFLORES,680.333,643.908,662.498,Satisfactorio,0
2022223126707900102,1818,A,Mujer,-0.248116884258846,SAN JUAN DE MIRAFLORES,516.8,463.876,483.258,Previo al Inicio,1
2022223126707900103,1818,A,Mujer,0.56592692072371,SAN JUAN DE MIRAFLORES,571.373,627.448,584.784,En inicio,1
2022223126707900104,1818,A,Hombre,-0.244324148618299,SAN JUAN DE MIRAFLORES,678.116,582.054,610.111,En proceso,0
2022223126707900105,1818,A,Hombre,-0.0405049226875043,SAN JUAN DE MIRAFLORES,740.264,421.568,634.357,En proceso,0
2022223126707900106,1818,A,Hombre,0.712995399351894,SAN JUAN DE MIRAFLORES,599.521,566.623,647.706,En proceso,0
2022223126707900107,1818,A,Hombre,1.16508605531904,SAN JUAN DE MIRAFLORES,619.478,572.924,519.048,Previo al Inicio,1
2022223126707900108,1818,A,Hombre,0.619540223893152,SAN JUAN DE MIRAFLORES,571.373,329.237,525.182,En inicio,1
